index,lat,lon,ele,x,y,segment_length,dist_to_start
0,45.618773,9.281152,183.442444,0.000000,0.000000,0.000000,0.000000
1,45.620640,9.281420,183.972855,20.859779,207.818241,208.862519,208.862519
2,45.622240,9.281610,184.641129,35.653266,385.930241,178.725297,387.573614
3,45.624500,9.281910,184.788177,59.011404,637.513441,252.665212,640.238810
4,45.624560,9.282130,185.028778,76.140705,644.192641,18.385447,648.676781
5,45.624620,9.282450,185.746826,101.056052,650.871841,25.795081,658.670236
6,45.624650,9.282470,186.168320,102.613261,654.211441,3.684811,662.210005
7,45.625070,9.282340,186.285309,92.491401,700.965841,47.837495,707.041562
8,45.625510,9.282180,186.766998,80.033728,749.946641,50.540206,754.205119
9,45.626000,9.282070,187.519089,71.469077,804.493441,55.215094,807.661765
10,45.627370,9.282210,188.103409,82.369542,957.001841,152.897456,960.540090
11,45.627560,9.282250,188.370697,85.483960,978.152641,21.378867,981.880897
12,45.628260,9.282570,188.521652,110.399307,1056.076641,81.810294,1061.831380
13,45.628920,9.283220,188.849808,161.008605,1129.547841,89.215012,1140.965423
14,45.629210,9.283690,189.186325,197.603021,1161.830641,48.798877,1178.514910
15,45.629580,9.284540,189.400330,263.784411,1203.019041,77.951656,1231.599378
16,45.629840,9.285620,190.167786,347.873707,1231.962241,88.930976,1280.135571
17,45.629950,9.286890,190.127151,446.756490,1244.207441,99.638093,1321.984689
18,45.630100,9.289680,190.690445,663.987170,1260.905441,217.871503,1425.047892
19,45.630120,9.290110,191.126984,697.467167,1263.131841,33.553943,1442.900723
20,45.630160,9.291290,191.544220,789.342509,1267.584641,91.983182,1493.262341
21,45.630220,9.291450,192.173309,801.800182,1274.263841,14.135252,1505.533749
22,45.630470,9.291570,192.429657,811.143438,1302.093841,29.356521,1534.080196
23,45.630580,9.291840,192.216827,832.165761,1314.339041,24.328646,1555.630730
24,45.630640,9.292290,192.295303,867.202968,1321.018241,35.668159,1580.231053
25,45.631070,9.294090,191.573563,1007.351794,1368.885841,148.097943,1699.589975
26,45.631390,9.295470,190.810623,1114.799227,1404.508241,113.198526,1793.159423
27,45.631390,9.295690,190.296173,1131.928528,1404.508241,17.129301,1803.858529
28,45.631340,9.295960,189.991028,1152.950852,1398.942241,21.746688,1812.825160
29,45.631190,9.296280,189.631424,1177.866199,1382.244241,29.993294,1816.030816
30,45.630940,9.296520,189.085999,1196.552709,1354.414241,33.521554,1807.256574
31,45.630330,9.296640,188.682602,1205.895964,1286.509041,68.544968,1763.318063
32,45.629160,9.296780,187.473373,1216.796429,1156.264641,130.699747,1678.553386
33,45.628580,9.296850,188.816681,1222.246661,1091.699041,64.795229,1638.808621
34,45.628410,9.296770,188.720734,1216.017824,1072.774641,19.923135,1621.587117
35,45.627900,9.295530,188.199066,1119.470855,1016.001441,112.002292,1511.778398
36,45.626750,9.292630,187.869141,893.675524,887.983441,259.561437,1259.829565
37,45.626100,9.291440,187.929626,801.021578,815.625441,117.560342,1143.188711
38,45.624850,9.289360,188.180252,639.071823,676.475441,213.519192,930.608305
39,45.623060,9.286460,188.358154,413.276492,477.212641,301.146468,631.291822
40,45.622750,9.285960,186.910324,374.346263,442.703441,52.023530,579.759831
41,45.622420,9.285890,184.948563,368.896031,405.967841,37.137708,548.538212
